id,date_occurred,time_of_day,time_of_day_recode,incident_type,incident_action,territorial_water_status,closest_coastal_state,closest_coastal_state_cow_code,latitude,longitude,location_precision,geolocation_source_imb,geolocation_source_imo,geolocation_source_asam,location_description,vessel_name,vessel_country,vessel_country_cow_code,vessel_status,violence_dummy,steaming_recode,incident_type_recode,incident_action_recode,,
,5/4/93,11:05:00 AM,1,,,South Korea,South Korea,732,35.7833333,123.85,1,1,,0,East China Sea,Mv Komsomlskaya Smena,Russia,365,Unspecified,,-99,-99,-99,,
,5/4/93,11:25:00 PM,3,,,Taiwan,Taiwan,713,19.3123,115.984,3,1,,0,235 miles SE of Hong Kong. Hong Kong - Luzon - Hainan,Mv Tricolor Star III,Panama,95,Unspecified,,-99,-99,-99,,
,5/17/93,4:00:00 AM,4,,,Nigeria,Nigeria,475,6.45,3.3766667,3,1,,0,"16 miles South of Lagos, Nigeria",Mt Petrobulk Panther,Belgium,211,Unspecified,,-99,-99,-99,,
,5/19/93,3:45:00 AM,4,,,Indonesia,Indonesia,850,-5.95,106,4,1,,0,"Alongside Prointal Jetty, Indonesia",Maersk Sussex,IOM,-99,Unspecified,,-99,-99,-99,,
,5/24/93,,-99,,,Indonesia,Indonesia,850,3.5,100.1666667,1,1,,0,Straits of Malacca-Indonesia,Mv Star Lily,Hong Kong,710,Unspecified,,-99,-99,-99,,
,5/25/93,,-99,,,Indonesia,Indonesia,850,6.9833333,108.4,1,1,,0,South China Sea,Mv Pina,Hong Kong,710,Unspecified,,-99,-99,-99,,
,5/25/93,,-99,,,Indonesia,Indonesia,850,-5.7833333,108.7166667,1,1,,0,Java Sea,Mt Timur Mercury,Bahamas,31,Unspecified,,-99,-99,-99,,
,6/2/93,,-99,,,China,China,710,37.4333333,122.1833333,2,1,,0,Port of Weihaiwei. East China Sea,Mv Sibirskiy-2114,Russia,365,Unspecified,,-99,-99,-99,,
,6/3/93,,-99,,,Indonesia,Indonesia,850,1.6766667,101.45,2,1,,0,Dumai Port. Straits of Malacca-Indonesia,Mt Timur Endurance,Bahamas,31,Unspecified,,-99,-99,-99,,
,6/9/93,3:00:00 AM,4,,,Malaysia,Malaysia,820,2.25,101.9,1,1,,0,Straits of Malacca-Malaysia,Mt Royal Arrow,Liberia,450,Unspecified,,-99,-99,-99,,
,6/9/93,11:00:00 PM,3,,,China,China,710,27.6166667,124.6666667,1,1,,0,East China Sea,Mv Soyuz 4,Russia,365,Unspecified,,-99,-99,-99,,
,6/11/93,7:00:00 AM,1,,,Japan,Japan,740,22.75,124.1666667,1,1,,0,East China Sea,Mt Dooyang Amber,Korea,732,Unspecified,,-99,-99,-99,,
,6/11/93,7:00:00 PM,3,,,China,China,710,37.7,123.5666667,1,1,,0,East China Sea,Mv Kap. Modest Ivanov,Russia,365,Unspecified,,-99,-99,-99,,
,6/12/93,12:25:00 AM,4,,,Sri Lanka,Sri Lanka,780,6.95,79.8431667,4,1,,0,"Colombo Outer Road, Sri Lanka",Mv Tiger Stream,Germany,255,Unspecified,,-99,-99,-99,,
,6/13/93,7:55:00 PM,3,,,China,China,710,36.8166667,123.3166667,1,1,,0,East China Sea,Gorets,Russia,365,Unspecified,,-99,-99,-99,,
,6/15/93,,-99,,,China,China,710,29.0791,122.9286,3,1,,0,150NM SE of Shanghai. East China Sea,Mv Kovdor,Russia,365,Unspecified,,-99,-99,-99,,
,6/16/93,,-99,,,China,China,710,29.2179,125.1539,5,1,,0,East China Sea,Mv Tokarevsk,Russia,365,Unspecified,,-99,-99,-99,,
,6/17/93,8:30:00 PM,3,,,China,China,710,29.7833333,127.5,1,1,,0,East China Sea,Mv Elm,Panama,95,Unspecified,,-99,-99,-99,,
,6/21/93,12:30:00 AM,4,,,Nigeria,Nigeria,475,6.2833333,3.3666667,1,1,,0,Nigeria,Mt Dan Frigg,Denmark,390,Unspecified,,-99,-99,-99,,
,6/24/93,5:38:00 AM,4,,,China,China,710,20.4166667,111.2333333,1,1,,0,Hong Kong - Luzon - Hainan,Mv Kapitan Betkher,Russia,365,Unspecified,,-99,-99,-99,,
,6/25/93,3:30:00 AM,4,,,South Korea,South Korea,732,35.0666667,128.6166667,1,1,,0,East China Sea,Gorets,Russia,365,Unspecified,,-99,-99,-99,,
,6/25/93,9:40:00 PM,3,,,Colombia,Colombia,100,3.8766667,-77.0666667,2,1,,0,"Inner Anchorage, Buenaventura, Colombia",Mv Crion,Malta,338,Unspecified,,-99,-99,-99,,
,6/26/93,1:00:00 AM,4,,,Indonesia,Indonesia,850,5.25,106.5,1,1,,0,South China Sea,Mv Far Trader,St. Vincent and Grenadine,57,Unspecified,,-99,-99,-99,,
,6/26/93,1:50:00 PM,2,,,China,China,710,20.9666667,110.5833333,1,1,,0,China,Mv Pavel Rybin,Russia,365,Unspecified,,-99,-99,-99,,
,6/26/93,,-99,,,Taiwan,Taiwan,713,20.7666667,116.25,1,1,,0,Hong Kong - Luzon - Hainan,Mv Kap. Leo. Borisenko,Ukraine,369,Unspecified,,-99,-99,-99,,
,7/6/93,9:00:00 PM,3,,,Taiwan,Taiwan,713,20.0333333,115.7,1,1,,0,Hong Kong - Luzon - Hainan,Mv Khudozhnik,Russia,365,Unspecified,,-99,-99,-99,,
,7/7/93,3:45:00 AM,4,,,Indonesia,Indonesia,850,4.1833333,99.4333333,1,1,,0,Straits of Malacca-Indonesia,Mv Faarabi,Iran,630,Unspecified,,-99,-99,-99,,
,7/7/93,8:00:00 AM,1,,,South Korea,South Korea,732,35.3166667,124.1333333,1,1,,0,East China Sea,Mv Valeriy Volkov,Russia,365,Unspecified,,-99,-99,-99,,
,7/8/93,5:00:00 PM,2,,,South Korea,South Korea,732,35.3333333,124.1666667,1,1,,0,East China Sea,Mv Evgenity Zuluz,Russia,365,Unspecified,,-99,-99,-99,,
,7/14/93,5:10:00 PM,2,,,China,China,710,22.3,115.2166667,1,1,,0,Hong Kong - Luzon - Hainan,Mv Ivan Skuridin,Russia,365,Unspecified,,-99,-99,-99,,
,7/15/93,8:00:00 AM,1,,,China,China,710,22.4,115.15,1,1,,0,Hong Kong - Luzon - Hainan,Mv Ko Mal San,North Korea,731,Unspecified,,-99,-99,-99,,
,8/13/93,9:43:00 PM,3,,,China,China,710,22.1333333,115.1,1,1,,0,Hong Kong - Luzon - Hainan,Mv Hermes Hope,Liberia,450,Unspecified,,-99,-99,-99,,
,8/20/93,4:00:00 AM,4,,,Indonesia,Indonesia,850,-7.1885,112.7466667,4,1,,0,"Berlian barat, Surabaya, Indonesia",Mt Kitsa,Cyprus,352,Unspecified,,-99,-99,-99,,
,8/28/93,10:30:00 AM,1,,,Taiwan,Taiwan,713,19.5783333,115.4533333,1,1,,0,Hong Kong - Luzon - Hainan,Mv A.J. 1,Cyprus,352,Unspecified,,-99,-99,-99,,
,9/2/93,12:01:00 AM,4,,,Indonesia,Indonesia,850,3.7766667,98.6766667,2,1,,0,"Berth 105, Belawan Port, Indonesia",Mv Gold Future,Panama,95,Unspecified,,-99,-99,-99,,
,9/9/93,9:30:00 AM,1,,,Angola,Angola,540,-5.915,13.965,1,1,,0,Angola,Mv Tilly,Panama,95,Unspecified,,-99,-99,-99,,
,9/11/93,1:15:00 AM,4,,,Indonesia,Indonesia,850,1,105,1,1,,0,Indonesia,Mv Kota Intan,Singapore,830,Unspecified,,-99,-99,-99,,
,9/21/93,5:30:00 AM,4,,,Philippines,Philippines,840,17.7166667,120.1666667,1,1,,0,Hong Kong - Luzon - Hainan,Mv Inger Riis,Denmark,390,Unspecified,,-99,-99,-99,,
,9/27/93,3:00:00 AM,4,,,Indonesia,Indonesia,850,3.7766667,98.6766667,2,1,,0,"Berth 108-109, Belawan Port, Indonesia",Mv Macknight,Malta,338,Unspecified,,-99,-99,-99,,
,9/29/93,11:30:00 PM,3,,,Brazil,Brazil,140,-24.1483333,-46.33,4,1,,0,"Outer Road, Santos, Brazil",Mv Sao Paulo,Vanuatu,935,Unspecified,,-99,-99,-99,,
,10/8/93,11:30:00 PM,3,,,Brazil,Brazil,140,-24.1483333,-46.33,4,1,,0,"Outer Road, Santos, Brazil",Mv Betelgeuse,Brazil,140,Unspecified,,-99,-99,-99,,
,10/17/93,5:00:00 PM,2,,,Philippines,Philippines,840,18.28,120.2866667,1,1,,0,Hong Kong - Luzon - Hainan,Mt BP Admiral,Bermuda,200,Unspecified,,-99,-99,-99,,
,10/19/93,7:30:00 PM,3,,,Indonesia,Indonesia,850,-9.1666667,115.8666667,1,1,,0,Indonesia,Gullhaar,Norway,385,Unspecified,,-99,-99,-99,,
,10/22/93,11:45:00 PM,3,,,Vietnam,Vietnam,816,8.2833333,106.6666667,1,1,,0,Kampuchea,Mv Nordsino,Cyprus,352,Unspecified,,-99,-99,-99,,
,10/26/93,1:30:00 PM,2,,,Guyana,Guyana,110,6.8216667,-58.17,2,1,,0,"Georgetown, Guyana",Mv Cottica,Hong Kong,710,Unspecified,,-99,-99,-99,,
,10/28/93,4:30:00 AM,4,,,Indonesia,Indonesia,850,-4.7333333,98.5833333,1,1,,0,Indonesia,Mv Impala,Antigua and Barbuda,58,Unspecified,,-99,-99,-99,,
,11/2/93,4:05:00 PM,2,,,Bangladesh,Bangladesh,771,22.0833,90.8333,2,1,,0,"Off Brul Reach, Gange River, India",LPG/C Polar Endurance,Bahamas,31,Unspecified,,-99,-99,-99,,
,11/5/93,10:50:00 AM,1,,,Taiwan,Taiwan,713,19.8666667,118.3666667,1,1,,0,Hong Kong - Luzon - Hainan,Mv Kayax,Panama,95,Unspecified,,-99,-99,-99,,
,11/12/93,10:30:00 PM,3,,,Sri Lanka,Sri Lanka,780,6.9499,79.6487,3,1,,0,"12NM off Colombo Port, Sri Lanka",Mv Lanka Asitha,Cyprus,352,Unspecified,,-99,-99,-99,,
,12/4/93,2:30:00 AM,4,,,Philippines,Philippines,840,17.95,120.1833333,1,1,,0,Hong Kong - Luzon - Hainan,Mv Alam Teladan,Malaysia,820,Unspecified,,-99,-99,-99,,
,12/6/93,11:30:00 PM,3,,,Internationa Waters (Indian Ocean),Indonesia,850,1.8333333,89.3333333,1,1,,0,Indian Ocean,Mv Usguaua,Argentina,160,Unspecified,,-99,-99,-99,,
,12/9/93,,-99,,,Indonesia,Indonesia,850,3.7766667,98.6766667,2,1,,0,"Belawan Port, Indonesia",Mv Sea Laurel,Antigua and Barbuda,58,Unspecified,,-99,-99,-99,,
,1/2/94,Unspecified,-99,Attempted,,China,China,710,22.01666667,116.1,1,1,,0,South China Sea,Francesia,Unspecified,-99,Unspecified,,-99,0,-99,,
,1/5/94,4:45:00 AM,4,Actual,Hijacked,China,China,710,13.63333333,112.0333333,1,1,,1,South China Sea,Jui Ho,Taiwan,710,Unspecified,1,-99,1,1,,
,1/9/94,12:45:00 AM,4,Actual,Boarded,Malaysia,Malaysia,820,1.3,103.4833333,1,1,,1,Indonesia,Gyoko Maru,Japan,740,Unspecified,,-99,1,2,,
,1/9/94,10:20:00 PM,3,Attempted,,Indonesia,Indonesia,850,1.183333333,103.4,1,1,,0,STM-INDO,Joyama Maru,Japan,740,Unspecified,,-99,0,-99,,
,1/9/94,11:30:00 PM,3,Actual,Boarded,Indonesia,Indonesia,850,1.166666667,103.45,1,1,,0,STM-INDO,Hellespont P,Liberia,450,Unspecified,,-99,1,2,,
,1/10/94,Unspecified,-99,Actual,Boarded,Philippines,Philippines,840,18.56666667,118.1166667,1,1,,1,HLH Area,Peder Most,Denmark,390,Unspecified,,-99,1,2,,
,1/11/94,1:00:00 AM,4,Attempted,,Bangladesh,Bangladesh,771,22.2383333,91.82666667,2,1,,1,"Chittagong B, Bangladesh",Moon Bird,Denmark,390,Unspecified,,-99,0,-99,,
,1/12/94,12:20:00 AM,4,Actual,Boarded,Indonesia,Indonesia,850,1.233333333,104.0833333,1,1,,0,Singapore Straits,Bophuthatbwana,St. Vincent & Grenadines,57,Unspecified,,-99,1,2,,
,1/16/94,6:00:00 AM,4,Actual,Boarded,Vietnam,Vietnam,816,10.3,107.0833333,1,1,,0,Vietnam,Diyyinah,UAE,696,Unspecified,,-99,1,2,,
,1/16/94,8:55:00 AM,1,Actual,Boarded,China,China,710,28.56666667,123.9,1,1,,0,East China Sea,Lucie Schulte,St. Vincent & Grenadines,57,Unspecified,,-99,1,2,,
,1/22/94,1:20:00 AM,4,Actual,Boarded,Egypt,Egypt,651,29.81666667,32.55,2,1,,0,"No.8 Suez Canal, Egypt",Landka Asitha,Cyprus,352,Unspecified,,-99,1,2,,
,1/25/94,12:20:00 AM,4,Actual,Boarded,Indonesia,Indonesia,850,1.25,103.3166667,1,1,,1,STM-INDO,Aries Has,Panama,95,Unspecified,,-99,1,2,,
,1/25/94,5:30:00 AM,4,Actual,Boarded,Philippines,Philippines,840,17.68333333,119.9666667,1,1,,1,HLH Area,Hans Oldendorff,Singapore,830,Unspecified,,-99,1,2,,
,1/26/94,2:00:00 AM,4,,,Jamaica,Jamaica,51,17.73666667,-76.75333333,,1,,0,"Off Kingston, Jamaica, Carribean ",Victoria Faith,Hong Kong ,710,Unspecified,,-99,-99,-99,,
,1/27/94,10:00:00 PM,3,Actual,Hijacked,Philippines,Philippines,840,20,121.4,1,1,,1,HLH Area,Alicia Star,Panama,95,Unspecified,1,-99,1,1,,
,1/27/94,Unspecified,-99,,,China,China,710,29.0791,122.9286,4,1,,1,East China Sea ,Nanshin Maru,Panama,95,Unspecified,,-99,-99,-99,,
,1/30/94,4:50:00 AM,4,Actual,Boarded,China,China,710,14.9,110.7666667,1,1,,1,HLH Area,Kota Mulia,Malaysia,820,Unspecified,,-99,1,2,,
,2/10/94,4:30:00 AM,4,Actual,Hijacked,Djibouti,Djibouti,522,11.66666667,43.16666667,1,1,,1,Somalia,MV Castor,Malta,338,Unspecified,1,-99,1,1,,
,2/16/94,3:00:00 AM,4,Actual,Boarded,Philippines,Philippines,840,15.01333333,121.5933333,2,1,,0,"Manila Port, Philippines",Nord Light,Cyprus,352,Unspecified,,-99,1,2,,
,2/16/94,Unspecified,-99,,,China,China,710,13.63333333,112.0333333,1,1,,0,HLH Area,Vlaherna,Cyprus,352,Unspecified,,-99,-99,-99,,
,2/21/94,1:40:00 PM,2,Attempted,,Spratly Islands,Vietnam,816,12.28333333,112.9,1,1,,0,South China Sea,Rita Del Mar,Norway,385,Unspecified,,-99,0,-99,,
,2/27/94,1:20:00 AM,4,Actual,Boarded,Taiwan,Taiwan,713,22.98333333,121.6433333,1,1,,0,HLH Area,Keumgang Glory,South Korea,732,Unspecified,,-99,1,2,,
,3/8/94,2:30:00 AM,4,Actual,Boarded,Indonesia,Indonesia,850,-1.366666667,116.95,1,1,,0,Indonesia,Timur Endurance,Bahamas,31,Unspecified,,-99,1,2,,
,3/12/94,1:15:00 AM,4,Attempted,,Vietnam,Vietnam,816,8.466666667,106.3333333,1,1,,0,Kampuchea,Santa Esmeralda,Singapore,830,Unspecified,,-99,0,-99,,
,3/14/94,5:00:00 AM,4,Actual,Boarded,Senegal,Senegal,433,14.676,-17.42466667,2,1,,0,"Dakar Roads, Senegal",Peder Most,Denmark,390,Unspecified,,-99,1,2,,
,3/15/94,1:00:00 AM,4,Actual,Boarded,Sri Lanka,Sri Lanka,780,6.945,79.75833333,1,1,,1,Sri Lanka,California Zeus,Hong Kong,710,Unspecified,,-99,1,2,,
,3/20/94,6:45:00 PM,3,Actual,Hijacked,China,China,710,22.555,114.1945,2,1,,0,"TCS No.2 Buoy, Hong Kong (Coded as Hong Kong Port)",Tequila,Honduras,91,Unspecified,1,-99,1,1,,
,3/25/94,11:10:00 PM,3,Attempted,,China,China,710,22.61666667,116.1166667,1,1,,0,East China Sea,Khudozhnik N. Rer,Russia,365,Unspecified,,-99,0,-99,,
,3/26/94,8:10:00 AM,1,Actual,Boarded,China,China,710,22.11666667,114.2666667,1,1,,0,East China Sea,Shun Ping,Panama,95,Unspecified,,-99,1,2,,
,3/26/94,1:45:00 PM,2,Attempted,,Taiwan,Taiwan,713,25.98333333,121.6433333,1,1,,1,East China Sea,Nordsung,Cyprus,352,Unspecified,,-99,0,-99,,
,4/19/94,2:15:00 PM,2,Actual,Boarded,Vietnam,Vietnam,816,13.38833333,110.4716667,1,1,,1,South China Sea,Kota Indah,Singapore,830,Unspecified,,-99,1,2,,
,4/23/94,5:10:00 AM,4,Attempted,,Philippines,Philippines,840,19.60416667,121.22,1,1,,1,Philippines,Forum Wind,Cyprus,352,Unspecified,,-99,0,-99,,
,4/25/94,2:30:00 AM,4,Actual,Boarded,Indonesia,Indonesia,850,-6.0976667,106.9025,2,1,,1,"Tanjung Priok Roads, Indonesia",Ikan Beliak,Singapore,830,Unspecified,,-99,1,2,,
,5/3/94,11:00:00 AM,1,Actual,Hijacked,China,China,710,18.75,107.3,1,1,,0,Gulf of Tonkin,M63807A,Hong Kong,710,Unspecified,1,-99,1,1,,
,5/8/94,2:00:00 AM,4,Actual,Boarded,Indonesia,Indonesia,850,3.783666667,98.70066667,2,1,,1,"Belawan Roads, Indonesia",Bangkok Navee,Thailand,800,Unspecified,,-99,1,2,,
,5/16/94,2:00:00 AM,4,Actual,Boarded,Brazil,Brazil,140,-24.637,-48.48766667,2,1,,1,"Santos Roads, Brazil",Alaska,Cyprus,352,Unspecified,,-99,1,2,,
,5/17/94,12:05:00 AM,4,Actual,Boarded,Indonesia,Indonesia,850,3.783666667,98.70066667,2,1,,0,"Outer Anchorage, Dar Es Salaam, Tanzania",Finnwood,Bahamas,31,Unspecified,,-99,1,2,,
,5/22/94,1:40:00 AM,4,Attempted,,Philippines,Philippines,840,17.6,119.95,1,1,,1,HLH Area,Timber Trader XII,Panama,95,Unspecified,,-99,0,-99,,
